Openness,infogain,Conscientiousness,infogain,Extraversion,infogain,Agreeableness,infogain,Neuroticism,infogain
へ,8.591707426952588e-06,わかる,7.603909884190685e-06,組み合わせる,9.156302970492192e-06,組み合わせる,8.723985946090806e-06,いや,9.27275643702874e-06
止める,8.54501447733469e-06,送れる,7.592151951452131e-06,バン,9.13690529213973e-06,では,8.698034256404696e-06,反,9.160421775789018e-06
貯める,8.515116890150942e-06,いろいろ,7.511690227390844e-06,萌える,9.044399401636483e-06,もう,8.528767900251033e-06,＼,9.117754172005554e-06
ちる,8.501672771776825e-06,き,7.496916778260143e-06,ためる,8.993154005931814e-06,やっぱ,8.5032851049327e-06,べ,9.115572901841063e-06
よむ,8.498491735342562e-06,いたす,7.430956019960355e-06,はてな,8.953146499623976e-06,ためる,8.461504607870651e-06,削れる,9.014003027774109e-06
お疲れさま,8.456313512872349e-06,まく,7.429102744205274e-06,そこそこ,8.929533721224736e-06,答える,8.442569259248245e-06,他,8.89899482747758e-06
はじまる,8.308391236555579e-06,かる,7.397328835923034e-06,えらべる,8.876867088947193e-06,可,8.01574215025802e-06,待ち望む,8.636780812976141e-06
副,8.2917905597224e-06,やく,7.370427203556851e-06,あんまり,8.787110065022752e-06,良い,7.988255144808498e-06,賢い,8.59750093895606e-06
ござる,8.269496741375448e-06,なく,7.348303526000244e-06,．,8.70811607900368e-06,よむ,7.961448346138766e-06,苦しむ,8.51254362943532e-06
多分,8.260682277883014e-06,ぽい,7.310328166698632e-06,伸びる,8.69356572252844e-06,決まる,7.868339695127347e-06,とても,8.494825195382028e-06
■,8.2482829233399e-06,肥える,7.223942487311064e-06,女,8.64770000108539e-06,迷う,7.863526106599572e-06,あさる,8.461866025211151e-06
やく,8.176873021348285e-06,すごい,7.2160432809109665e-06,握る,8.58348855636848e-06,お疲れさま,7.847561968588046e-06,うまい,8.450392967374043e-06
おどる,8.135452811419697e-06,ｐ,7.177520301882012e-06,痛い,8.522473662564423e-06,、,7.6207318326915185e-06,ためる,8.427994430237895e-06
こりる,8.103668350800675e-06,うまい,7.136670805318879e-06,終わる,8.520497057018517e-06,意外と,7.604653531778638e-06,）,8.40803268853385e-06
つむ,8.041106433820389e-06,ほじる,7.102609954623418e-06,すぎる,8.457566326169896e-06,ねェ,7.60055688397987e-06,ぜ,8.39324028933941e-06
反,7.920163612840092e-06,が,7.0738120284685735e-06,ｗ,8.424416184205086e-06,多い,7.444584986582292e-06,ぬくぬく,8.332101240626777e-06
―,7.863501838123454e-06,（,7.066029021562947e-06,いみい,8.40969126481017e-06,いたす,7.404633255103654e-06,ほじる,8.292744240523398e-06
を,7.82254168096852e-06,『,7.030961585274831e-06,り,8.409105019202556e-06,Ｍ,7.395110736552191e-06,じゃ,8.155073278337532e-06
握る,7.810341020042522e-06,ぬくぬく,6.984620780081663e-06,待ち望む,8.399690197280485e-06,寝る,7.382547270728956e-06,んで,8.129129645650934e-06
ねだる,7.800713100358792e-06,‥,6.962552689726564e-06,ほじる,8.301889426909348e-06,出る,7.3477662743126615e-06,お,8.09226707954025e-06
つかわす,7.762444285797088e-06,頂ける,6.8799798915719634e-06,小,8.285969921306702e-06,Ｉ,7.340587141135835e-06,稼げる,8.071846599122523e-06
大,7.70075339950882e-06,流れる,6.842987448241189e-06,ね,8.257796993538236e-06,ねがう,7.295346482472098e-06,やっぱ,7.986739438359258e-06
使える,7.698037105763333e-06,ねェ,6.82007181596056e-06,すい,8.240093294364925e-06,φ,7.277907438707487e-06,なく,7.926952582226754e-06
ない,7.63307002238367e-06,変わる,6.817813364867753e-06,しっかり,8.098912565035477e-06,Ｂ,7.227504733919865e-06,つむ,7.863256678120045e-06
暑い,7.586704123152543e-06,効く,6.76003190702712e-06,彩る,8.010738289709884e-06,約,7.227172687751526e-06,見せる,7.842001547242461e-06
考える,7.53075149206861e-06,なんだか,6.724559326931612e-06,Σ,7.930566814695617e-06,＼,7.16415323909203e-06,険しい,7.838569203610923e-06
‥,7.52100040768422e-06,食う,6.665217405110724e-06,として,7.83435624229778e-06,えらべる,7.145769951866221e-06,こりる,7.77031458809585e-06
□,7.518463093103556e-06,遊ぶ,6.3875460087903235e-06,っぽい,7.749189777861432e-06,軽い,7.136622058978581e-06,おやすみ,7.680579050872716e-06
目指す,7.517098510767539e-06,選ぶ,6.327165362196574e-06,軽い,7.7068583166362e-06,ちゃんと,7.129124117044583e-06,あっ,7.629153489618901e-06
降る,7.454212738178256e-06,迄,6.2759878608487085e-06,やっと,7.678609885375387e-06,この,7.103097567462413e-06,】,7.598432775091091e-06
ｎ,7.281447755524972e-06,良い,6.258253727242646e-06,しかし,7.565988277224989e-06,つくれる,7.1001974910611665e-06,肥える,7.459284633970498e-06
やる,7.277413005879474e-06,ど,6.247189442309953e-06,調べる,7.466213408746647e-06,送れる,7.09296199574716e-06,小,7.418998608121896e-06
バン,7.236051860481929e-06,迷う,6.1341079455878855e-06,いろいろ,7.420205419106374e-06,ぜひ,7.005478478427918e-06,はてな,7.410795095141864e-06
ねェ,7.2193606522885645e-06,）,6.127864987770515e-06,づらい,7.22253107487969e-06,なんで,6.993609218297614e-06,わぁ,7.384545968380785e-06
どる,7.165992461199977e-06,いる,6.120009386934022e-06,ともかく,7.182947554418284e-06,β,6.9825047244176375e-06,にゃ,7.381427563513121e-06
ワクワク,7.1623143597099315e-06,あの,6.095456475230243e-06,結構,7.011552076163774e-06,づらい,6.974949326665758e-06,ほんと,7.3524356148935155e-06
頂ける,7.155982629569735e-06,とれる,6.067973603474108e-06,ψ,6.965744749565239e-06,はやい,6.968879908031411e-06,かわいい,7.309315763093238e-06
し,7.109619241774112e-06,凄い,6.047310333712197e-06,悪,6.831189472200627e-06,ねむたい,6.796613058357437e-06,＾,7.302473847170532e-06
うすい,6.966544834008381e-06,いろんな,6.023606923588609e-06,とれる,6.767240094518456e-06,まとめる,6.770689187196588e-06,見直す,7.182896080260015e-06
とむ,6.892141283465492e-06,いう,5.933856084605615e-06,一応,6.758200327361408e-06,◎,6.7684698048520175e-06,頂ける,7.157222415288267e-06
ねがう,6.8913482021981665e-06,おる,5.880365207544536e-06,そして,6.755537402480805e-06,険しい,6.722621076038493e-06,役に立つ,7.1388896999424745e-06
お疲れ様,6.890508767343206e-06,｜,5.8564559588525356e-06,ぬくぬく,6.6954658007878365e-06,ｎ,6.614750664102331e-06,組み合わせる,7.036217157141422e-06
きっと,6.876520490028959e-06,話せる,5.855108809682541e-06,こっそり,6.637303005319062e-06,っす,6.5506768280876315e-06,伸びる,7.012463226763188e-06
うわ,6.847014553779118e-06,おどる,5.835514695795574e-06,そろそろ,6.5123034788117096e-06,ぐらい,6.542006720455795e-06,‘,6.9933344070127745e-06
おもしろい,6.8352477845534665e-06,はる,5.791084898176813e-06,りん,6.46079424349022e-06,乗る,6.539792655746446e-06,泣く,6.977729963053569e-06
安い,6.814021854095742e-06,むく,5.727163765567589e-06,こうした,6.4572362452608445e-06,とむ,6.512208843623135e-06,可,6.865659780475042e-06
寒い,6.807949958442805e-06,乗る,5.70756209328227e-06,：,6.454344363637787e-06,一方,6.408511503463998e-06,だが,6.829374170180813e-06
全,6.78171267110006e-06,取り戻す,5.678044729062748e-06,迄,6.4498502138077285e-06,たぶん,6.393571070129056e-06,使う,6.806082978316752e-06
かる,6.781468045780059e-06,■,5.635987475050008e-06,＞,6.4272758920624895e-06,みる,6.378203356471879e-06,安い,6.800346700863713e-06
出来る,6.7631997984207715e-06,すみません,5.600753629098065e-06,いい,6.354908711148077e-06,薦める,6.363693686117777e-06,はっ,6.781716795134507e-06
すぎる,6.749932716210161e-06,ψ,5.58349042367734e-06,せんする,6.349314368381265e-06,そもそも,6.358585775356751e-06,き,6.743405077669351e-06
や,6.708391027787641e-06,から,5.5747477473166995e-06,まだ,6.34565273271992e-06,おいしい,6.354774577999045e-06,ただ,6.7076852323655345e-06
がんばれる,6.682520950374027e-06,ていう,5.5416472869440625e-06,ば,6.342496046585211e-06,に,6.301769332472951e-06,たぶん,6.6911032386984814e-06
彩る,6.567505811294616e-06,ｎ,5.5395222090526275e-06,しれる,6.3397713095936226e-06,めんどい,6.1561025739287345e-06,ねがう,6.637604501924521e-06
てる,6.466255401460508e-06,お疲れさま,5.535152684421618e-06,Θ,6.3053803480705994e-06,某,6.1401748484568586e-06,飲む,6.6077877762804604e-06
当てる,6.394472752635494e-06,寒い,5.4094569658103e-06,思いっきり,6.30483925345704e-06,苦しむ,6.122048129997282e-06,いみい,6.5113719491805e-06
いみい,6.299980636281788e-06,つむ,5.397462414458154e-06,”,6.290384823803841e-06,行ける,6.101958023418952e-06,やく,6.504224693060223e-06
くらい,6.2602977081160915e-06,可,5.390140995431558e-06,まとめる,6.271476352903704e-06,有る,6.0744248372435194e-06,ｐ,6.329004490157608e-06
はあ,6.227371218137101e-06,◎,5.309664008912307e-06,可,6.262985801752663e-06,はじまる,6.074399075628456e-06,大,6.320683285321316e-06
こっそり,6.193353333294738e-06,という,5.263978260061641e-06,（,6.253115024890121e-06,○,6.0554232180765055e-06,彩る,6.284758918395639e-06
うい,6.17518423662311e-06,こうした,5.252217042173157e-06,もう,6.239606982427759e-06,稼ぐ,6.046238290591255e-06,へ,6.273965911907098e-06
良い,6.15916291124563e-06,｀,5.230282420276566e-06,安い,6.220326248973507e-06,効く,6.00513889881249e-06,当たる,6.248550627696581e-06
物凄い,6.092662709122898e-06,腐る,5.208478964568997e-06,やく,6.145696292536584e-06,ので,5.9851084788231645e-06,ｗ,6.203370005786191e-06
迄,6.051354280445231e-06,ねがう,5.191374893964706e-06,だけ,6.078742830650796e-06,すごい,5.976469819590768e-06,見つかる,6.1788469265522394e-06
再,6.0421499070706375e-06,聴ける,5.146219278051589e-06,おやすみなさい,6.0653916286179665e-06,）,5.9093356046258094e-06,握る,5.962790401659035e-06
いむ,6.002427281881495e-06,始まる,5.12134709185208e-06,まぁ,6.0530260427293925e-06,ほじる,5.816974213757042e-06,にて,5.898008666460619e-06
その,5.939753207062637e-06,なぁ,5.078021663496024e-06,ねェ,6.011585053200541e-06,たつ,5.807308127381283e-06,ねェ,5.882379595312237e-06
スッキリ,5.915483351048856e-06,なんとか,5.035768872119206e-06,ｐ,5.932288246413009e-06,ずーっと,5.775410676922554e-06,美味しい,5.8631215285043226e-06
ねん,5.913787904154866e-06,思いっきり,4.980126354192649e-06,なく,5.931105816148197e-06,こっそり,5.7234897044011745e-06,眠い,5.861513739269242e-06
間もなく,5.888250327767963e-06,＞,4.955319914623502e-06,ただ,5.907081719547236e-06,つむ,5.721442955075595e-06,おもろい,5.760486012751365e-06
悪,5.88124317579819e-06,過ぎる,4.930730591601318e-06,つつ,5.868709581524634e-06,当,5.666087897870931e-06,φ,5.760038477631291e-06
走る,5.874655371163051e-06,ド,4.906383491931621e-06,分かる,5.767475787732401e-06,じゃ,5.6522693469007734e-06,送れる,5.725234436093629e-06
まじ,5.81579973479851e-06,某,4.883289325130491e-06,載る,5.748079457079669e-06,起きる,5.648996438178955e-06,はじまる,5.709102009587852e-06
ちゃんと,5.790987811282733e-06,Ｊ,4.882181739440661e-06,うい,5.718531336906807e-06,脱,5.509745213960748e-06,＠,5.637537930147651e-06
Ｉ,5.7699588790205425e-06,悪,4.852132926336239e-06,他,5.67919178351417e-06,まくる,5.457349731230465e-06,ねだる,5.636383993312677e-06
／,5.745860178096862e-06,うるおう,4.834481965976245e-06,による,5.653164460661664e-06,実に,5.318819428667965e-06,相変わらず,5.612958532963397e-06
おく,5.735411079510477e-06,当,4.8341606002644255e-06,Ｉ,5.612764987006358e-06,飲む,5.171402207237996e-06,よむ,5.59727672355681e-06
薦める,5.721897459509684e-06,湿る,4.8037626383390375e-06,バレる,5.598068275380896e-06,そういや,5.116183666609153e-06,ひんやり,5.591517087899511e-06
など,5.702471993385139e-06,おもしろい,4.7872123066783345e-06,元,5.5693528442368745e-06,有難う,5.104054565552296e-06,おどる,5.495578532022094e-06
迷う,5.702100958071554e-06,つかれる,4.751574473993436e-06,やすい,5.560742969534793e-06,へん,5.103953754193036e-06,偉い,5.4865255385561085e-06
み,5.6687747179706705e-06,小さな,4.746985863279818e-06,＜,5.4988972789660195e-06,おどる,5.085974581597874e-06,れる,5.483329743372067e-06
実に,5.593037666895562e-06,軽い,4.736473071531577e-06,＆,5.450068805701314e-06,迄,5.0556676509661e-06,忘れる,5.464468133098421e-06
作る,5.5608875334511865e-06,うーん,4.723589232313863e-06,‘,5.4259330397599115e-06,見せる,5.034589284802493e-06,とかいう,5.4300062943823946e-06
ちゃう,5.550893955041936e-06,すでに,4.714158515772837e-06,゜,5.415805437891663e-06,着く,4.980026870216037e-06,しかし,5.428021871978217e-06
く,5.544118402811549e-06,ただ,4.689027716886507e-06,小さな,5.354166314086584e-06,凄い,4.9587810304618785e-06,だいたい,5.414571043527161e-06
とくとく,5.526425877699914e-06,に関する,4.679755273517827e-06,なんとなく,5.348421137640891e-06,素晴らしい,4.9067816936254616e-06,さぁ,5.413991738145718e-06
可愛い,5.493841017334411e-06,へん,4.665778406520715e-06,たつ,5.3267323572026015e-06,取り戻す,4.9019241727954466e-06,ぜんぜん,5.386979176624784e-06
ノ,5.491854447203792e-06,聴く,4.653778957197652e-06,たまる,5.290891785136864e-06,による,4.896250539010438e-06,眠れる,5.3724227994100815e-06
思う,5.452614199930039e-06,聞く,4.64293806490268e-06,とむ,5.2879873553290935e-06,走れる,4.811268492499465e-06,まあ,5.262577135067836e-06
取り戻す,5.4467899779364615e-06,ねだる,4.60666548141031e-06,らしい,5.269349625081077e-06,稼げる,4.794556507370373e-06,そんな,5.252041503145399e-06
わあ,5.3782217576126e-06,ｑ,4.591306582479859e-06,覚える,5.258042825140308e-06,帰る,4.793095914723544e-06,おや,5.152702534205744e-06
ぶる,5.328011173144631e-06,ん,4.575093296654842e-06,届ける,5.19625654782363e-06,届ける,4.769623765943365e-06,らしい,5.134137946227746e-06
っぽい,5.287407982224046e-06,もう,4.561203953090676e-06,かなり,5.1903401157016305e-06,むく,4.76565328699774e-06,ド,5.112156551301261e-06
よお,5.228419124203576e-06,▽,4.556114761022911e-06,勝つ,5.181786635666263e-06,けど,4.702721766891571e-06,勝つ,5.028529769468548e-06
何となく,5.227584986111644e-06,届ける,4.472061693072682e-06,とくとく,5.142799211599325e-06,＾,4.650012397577896e-06,のみ,4.988640219139029e-06
β,5.1561062146543435e-06,もつ,4.423027889721709e-06,はじまる,5.134292480168945e-06,イイ,4.63792475424718e-06,ω,4.955614735568936e-06
なり,5.111633468835031e-06,●,4.374820019914516e-06,続く,5.124294043534761e-06,とかいう,4.630970865782125e-06,ぐらい,4.910264250423957e-06
それにしても,5.054456250985773e-06,伸びる,4.3447194212342666e-06,頂ける,5.0507728228676996e-06,うまい,4.60525425816094e-06,から,4.907700110967639e-06
＠,5.033436053292206e-06,まとめる,4.312875902190427e-06,むすぶ,4.972347383169762e-06,ところで,4.57868167824671e-06,元,4.872679704392979e-06
ほじる,5.027152766179377e-06,削れる,4.303140959005525e-06,たり,4.92612590907715e-06,それでは,4.559445551999275e-06,こうした,4.862071402933488e-06
こうした,5.026054934798019e-06,よい,4.297848481105149e-06,歌う,4.897414726978688e-06,ねむい,4.5205659831015765e-06,覆る,4.832971339685521e-06
おかえり,4.99031432388275e-06,つくれる,4.268252584038734e-06,さすが,4.881130218126195e-06,…,4.496058890079979e-06,いたす,4.823806592946234e-06
えーと,4.929513296780819e-06,ない,4.2608518735498535e-06,高,4.869627618586669e-06,取り敢えず,4.483068650973365e-06,悪い,4.790162108858631e-06
ある,4.888074341291571e-06,よし,4.259826643537856e-06,薦める,4.85700766017505e-06,はる,4.465386687413364e-06,こんな,4.773374701394495e-06
煙る,4.874245011388112e-06,◆,4.223753966914323e-06,に関する,4.853185956887884e-06,眠い,4.45010918670441e-06,み,4.766687038748607e-06
軽い,4.8480111615178956e-06,成る,4.223708653605662e-06,成る,4.8098968444820756e-06,何だか,4.448535445455981e-06,快,4.76334479704299e-06
けんじる,4.802296248329618e-06,．,4.187050733572839e-06,かわいい,4.79733334723953e-06,変わる,4.446497394394733e-06,それでは,4.746540039679559e-06
では,4.797025284886125e-06,つかわす,4.1863945597908625e-06,ぐらい,4.75013043454986e-06,全,4.428134995793087e-06,取り戻す,4.7299868268790846e-06
探す,4.7758816403842275e-06,えっ,4.162223139925203e-06,…,4.67185568087114e-06,売る,4.3838401797557935e-06,当,4.729094483346685e-06
短,4.756913005055097e-06,何だか,4.15731958458565e-06,お,4.6698815653334336e-06,辛い,4.302329000949179e-06,似る,4.7139157631770345e-06
ぜんぜん,4.748811146870757e-06,握る,4.156586749681779e-06,遂に,4.6654706362669884e-06,よる,4.289749803043641e-06,話せる,4.695177732716438e-06
美味しい,4.7467089226982395e-06,薦める,4.153838822462674e-06,ど,4.660267220457648e-06,何故か,4.285224175060165e-06,やす,4.683904745839129e-06
送れる,4.739510100937316e-06,負ける,4.1346457129165515e-06,薄い,4.6154182681279465e-06,どー,4.272604782751266e-06,とる,4.6695521688233654e-06
かっこいい,4.712437237541778e-06,どー,4.1324993550473366e-06,ひんやり,4.569996464809378e-06,ねだる,4.255367365146867e-06,生,4.653380330732482e-06
るる,4.698166035543849e-06,あんじる,4.120045693722929e-06,走れる,4.5668444117463736e-06,だ,4.228022089547423e-06,愛す,4.616794735512464e-06
どう,4.681948399531954e-06,まったく,4.109042424427223e-06,辛い,4.50544044960921e-06,伸びる,4.185086218466694e-06,こう,4.6099624068096645e-06
γ,4.6725084399401595e-06,ヾ,4.08166397858345e-06,いろんな,4.4279533717439534e-06,ただいま,4.180346365179055e-06,効く,4.595592219991396e-06
まず,4.6644728893818765e-06,御座る,4.042270825177496e-06,別に,4.427245811622349e-06,られる,4.174503562381915e-06,あれ,4.583396189361544e-06
頂く,4.6532345367999994e-06,だいたい,4.028310902182142e-06,効く,4.376705921460555e-06,γ,4.163056906314466e-06,貼る,4.575617110758046e-06
つまり,4.64690094093001e-06,でる,3.97875108715251e-06,かまう,4.373595525297702e-06,覆る,4.074130723119573e-06,使える,4.561752988352374e-06
：,4.636962756432439e-06,美味しい,3.91762894413894e-06,なくなる,4.369431556461301e-06,ぜんぜん,4.070566339220427e-06,ガンバる,4.556657229426442e-06
くう,4.626391372775096e-06,あく,3.8960177273228425e-06,《,4.353114829713789e-06,おかえり,4.068572398319148e-06,あう,4.529262197516815e-06
おる,4.572013475034886e-06,間もなく,3.867678339819491e-06,とっても,4.333330583916606e-06,に関する,4.066128669211189e-06,笑う,4.504978122765735e-06
走れる,4.543793850508848e-06,会う,3.837180466814694e-06,この,4.330537884733587e-06,ええ,4.064985796858878e-06,β,4.499338726704494e-06
ほんと,4.515781610536784e-06,下がる,3.836077731911303e-06,ねがう,4.3119618093889756e-06,聴く,4.041087471096105e-06,より,4.495649605251728e-06
いまいち,4.5039259970458545e-06,もちろん,3.832717123675167e-06,ふむ,4.30463823064553e-06,使える,4.031899588419208e-06,でる,4.48623997473252e-06
ｂ,4.488148188541707e-06,揃う,3.821095969858135e-06,遊ぶ,4.240365090391052e-06,くらい,4.0314691481802e-06,迄,4.485672322362966e-06
色々,4.4308894471267735e-06,実に,3.765503235553247e-06,つかわす,4.237032773968252e-06,沸く,4.023304490008428e-06,前,4.471354407176165e-06
すっごい,4.3051225095958046e-06,無い,3.7323199399974527e-06,一方,4.177272856176195e-06,そーいや,4.001476465731457e-06,ながら,4.430821000322993e-06
ゆる,4.2921957393859955e-06,↑,3.7198415798744833e-06,どころか,4.126392701420123e-06,まい,3.9694907961740356e-06,かりる,4.411448375152283e-06
苦しむ,4.287862103269369e-06,短,3.704887296951398e-06,実に,4.101461437922005e-06,代わる,3.9507122207016465e-06,なる,4.40794262035471e-06
始まる,4.267084169229385e-06,終わる,3.7026714012622364e-06,》,4.09516151500533e-06,かわゆい,3.94540823678291e-06,まで,4.380977814633091e-06
ほぼ,4.241766425105986e-06,求む,3.694802399811792e-06,示す,4.0883330253427275e-06,聞く,3.923531384897316e-06,実に,4.343058814360035e-06
続,4.230099838631318e-06,うすい,3.684291530636763e-06,ぜんぜん,4.070393718524912e-06,．,3.911519247501438e-06,おとす,4.331781158439796e-06
ｐ,4.228815918994044e-06,かりる,3.6554820016521106e-06,で,4.063421455979821e-06,け,3.9017396813445515e-06,変わる,4.327037001483625e-06
ともかく,4.18417673286875e-06,女,3.646675608370842e-06,入る,4.053641240453487e-06,会う,3.879587853528044e-06,成る,4.3101062374706345e-06
少し,4.154359401931096e-06,降る,3.632904827965966e-06,面白い,3.980482619070358e-06,たまる,3.878899041964701e-06,御座る,4.303031953645231e-06
Σ,4.145866403293397e-06,スッキリ,3.6322251061315924e-06,へん,3.969010909821158e-06,おもろい,3.8616110117351e-06,届ける,4.234767551070107e-06
御座る,4.1417131688703535e-06,とむ,3.6027851018083368e-06,はぁ,3.966729146709369e-06,優しい,3.8506970594376355e-06,Ｐ,4.219231134361401e-06
有る,4.119105803224166e-06,有る,3.5964374457408965e-06,上手い,3.964623744412421e-06,少し,3.8122459925515884e-06,｀,4.206500742176544e-06
結構,4.116790477293186e-06,Θ,3.593863605044767e-06,教える,3.962248827371617e-06,詳しい,3.8001251647656886e-06,悪,4.181388022272969e-06
いや,4.110493146747274e-06,まで,3.5327041868482567e-06,見つかる,3.940331176455203e-06,そういう,3.7623500359629247e-06,凄い,4.1717453100886814e-06
いろんな,4.089427873110729e-06,Ｂ,3.5276900238745412e-06,生,3.937944311860342e-06,そろそろ,3.7436121628209307e-06,続,4.163629168218996e-06
おやすみ,4.058852068555829e-06,やはり,3.5229243815493305e-06,よぶ,3.916995668706846e-06,何となく,3.7422355362304316e-06,たまる,4.155305550090915e-06
決まる,4.053204831544477e-06,ただいま,3.510933518136028e-06,くる,3.907613831621859e-06,う,3.7397634099489707e-06,軽い,4.0999492382232106e-06
気付く,4.042872280729526e-06,くらい,3.4951955852902117e-06,凄い,3.897723229395744e-06,戦う,3.7177907604712956e-06,いろんな,4.065327294799914e-06
変わる,4.036656866990285e-06,美しい,3.4635034151797583e-06,いたす,3.876611495257087e-06,握る,3.6975716268816683e-06,うーん,4.0429140303333e-06
あく,4.019147754386054e-06,見よい,3.4616457459391015e-06,どう,3.872291708506559e-06,楽しめる,3.687690412812472e-06,￥,4.0152397908777004e-06
これから,4.0161309292630065e-06,ゆる,3.4592855580051207e-06,もつ,3.844516988094071e-06,つらい,3.68652492765964e-06,※,3.980457168206719e-06
難しい,4.008818059286767e-06,為る,3.4427758173194434e-06,取り戻す,3.8349567687001596e-06,ほんとに,3.677027345938555e-06,辛い,3.979885579097342e-06
調べる,3.991691418847587e-06,読める,3.4312860781593457e-06,知る,3.819891262413222e-06,だいたい,3.6656632218523555e-06,ｑ,3.971436093541669e-06
別に,3.984427523806566e-06,やばい,3.428157028806389e-06,比べる,3.817388803173394e-06,ヘ,3.648064062833356e-06,びびる,3.906874677994665e-06
干す,3.980744201381725e-06,そして,3.42403770214883e-06,選ぶ,3.7948214106631184e-06,ばっか,3.6456629292080933e-06,ほしい,3.904250239217255e-06
よろしく,3.945419869921807e-06,吹く,3.391983735889781e-06,どうして,3.7837639099702614e-06,かなり,3.6138136434438195e-06,有る,3.896432739236566e-06
くる,3.9423855897613436e-06,かわいい,3.3836092679928598e-06,買える,3.7717203309473035e-06,引換える,3.6114285208999064e-06,とむ,3.864637728945297e-06
引く,3.926601990111855e-06,まぁ,3.3823412445288525e-06,あんじる,3.7422225577232737e-06,バレる,3.606741615258535e-06,ふる,3.814504369703542e-06
◇,3.925686470229728e-06,ｂ,3.352953189650343e-06,少ない,3.737263422620707e-06,じ,3.592108096972524e-06,打つ,3.8124686642104777e-06
居る,3.922114023113821e-06,おもろい,3.352636691822397e-06,〆,3.727015670418332e-06,じゃん,3.556053003395121e-06,行う,3.795118055927027e-06
初,3.919171121635756e-06,さすが,3.340311488964076e-06,たい,3.7236365003634475e-06,潜る,3.5081659641722496e-06,持つ,3.782293112264412e-06
おおう,3.910839267096122e-06,たまに,3.333343832179203e-06,遅い,3.6940339298574543e-06,こうした,3.4664748962409675e-06,示す,3.7815346938252503e-06
‘,3.900115501442869e-06,何となく,3.32973985006646e-06,よい,3.6654322034257447e-06,ねる,3.462853981117675e-06,こっそり,3.7711297222742246e-06
が,3.893330243753823e-06,色々,3.3223156511441587e-06,たける,3.6491753259149107e-06,とく,3.4529188867038485e-06,起きる,3.756978760427465e-06
そこそこ,3.847594203909566e-06,”,3.3044053945330276e-06,良い,3.6453020834104066e-06,悪,3.426727278599273e-06,つくれる,3.7565791952687277e-06
ひんやり,3.835035433330525e-06,こっそり,3.297892826492621e-06,）,3.6290572125174947e-06,まく,3.4253509986204023e-06,わくわく,3.7562554027203987e-06
そう,3.821766343947708e-06,若々しい,3.287671679452764e-06,なかなか,3.6196962194257054e-06,とっても,3.4241302866444556e-06,まるい,3.7505098171575213e-06
こう,3.802827528986974e-06,ばたばた,3.2813898473982306e-06,がんばる,3.6147699855604287e-06,聴ける,3.4152813813692617e-06,試す,3.739165728822158e-06
貼る,3.7371786625328696e-06,示す,3.2659213735630743e-06,むしろ,3.6080959950890445e-06,でる,3.412370130018161e-06,けんじる,3.7305886205762917e-06
ネ,3.734760162910078e-06,かつ,3.2467490092003004e-06,減る,3.6043049779221903e-06,いきる,3.403300471105375e-06,女,3.71509070207221e-06
もつ,3.7030486842448695e-06,はあ,3.207557285112017e-06,おもろい,3.593411454838602e-06,宜しく,3.401073578879199e-06,よい,3.7001936618041853e-06
